pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,1,612.0,792.0,2959,/home/runner/work/_temp/manual04-publication/renders/en/page-001.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,2,612.0,792.0,1357,/home/runner/work/_temp/manual04-publication/renders/en/page-002.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,3,612.0,792.0,1228,/home/runner/work/_temp/manual04-publication/renders/en/page-003.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,4,612.0,792.0,3026,/home/runner/work/_temp/manual04-publication/renders/en/page-004.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,5,612.0,792.0,1749,/home/runner/work/_temp/manual04-publication/renders/en/page-005.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,6,612.0,792.0,3274,/home/runner/work/_temp/manual04-publication/renders/en/page-006.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,7,612.0,792.0,781,/home/runner/work/_temp/manual04-publication/renders/en/page-007.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,8,612.0,792.0,1105,/home/runner/work/_temp/manual04-publication/renders/en/page-008.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,9,612.0,792.0,3076,/home/runner/work/_temp/manual04-publication/renders/en/page-009.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,10,612.0,792.0,3085,/home/runner/work/_temp/manual04-publication/renders/en/page-010.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,11,612.0,792.0,3513,/home/runner/work/_temp/manual04-publication/renders/en/page-011.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,12,612.0,792.0,3606,/home/runner/work/_temp/manual04-publication/renders/en/page-012.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,13,612.0,792.0,3285,/home/runner/work/_temp/manual04-publication/renders/en/page-013.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,14,612.0,792.0,3738,/home/runner/work/_temp/manual04-publication/renders/en/page-014.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_EN.pdf,15,612.0,792.0,1305,/home/runner/work/_temp/manual04-publication/renders/en/page-015.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_ES-419.pdf,1,612.0,792.0,3244,/home/runner/work/_temp/manual04-publication/renders/es_419/page-001.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_ES-419.pdf,2,612.0,792.0,1776,/home/runner/work/_temp/manual04-publication/renders/es_419/page-002.png,PASS
Manual_04_NIST_AI_600-1_Generative_AI_Profile_ES-419.pdf,3,612.0,792.0,1358,/home/runner/work/_temp/manual04-publication/renders/es_419/page-003.png,PASS
