pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,1,612.0,792.0,2000,/home/runner/work/_temp/manual03-durable/renders/en/page-001.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,2,612.0,792.0,1580,/home/runner/work/_temp/manual03-durable/renders/en/page-002.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,3,612.0,792.0,1823,/home/runner/work/_temp/manual03-durable/renders/en/page-003.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,4,612.0,792.0,1151,/home/runner/work/_temp/manual03-durable/renders/en/page-004.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,5,612.0,792.0,883,/home/runner/work/_temp/manual03-durable/renders/en/page-005.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,6,612.0,792.0,2984,/home/runner/work/_temp/manual03-durable/renders/en/page-006.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,7,612.0,792.0,3558,/home/runner/work/_temp/manual03-durable/renders/en/page-007.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,8,612.0,792.0,340,/home/runner/work/_temp/manual03-durable/renders/en/page-008.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,9,612.0,792.0,2416,/home/runner/work/_temp/manual03-durable/renders/en/page-009.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,10,612.0,792.0,1256,/home/runner/work/_temp/manual03-durable/renders/en/page-010.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,11,612.0,792.0,1000,/home/runner/work/_temp/manual03-durable/renders/en/page-011.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,12,612.0,792.0,1925,/home/runner/work/_temp/manual03-durable/renders/en/page-012.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,13,612.0,792.0,1469,/home/runner/work/_temp/manual03-durable/renders/en/page-013.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,14,612.0,792.0,2423,/home/runner/work/_temp/manual03-durable/renders/en/page-014.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,15,612.0,792.0,2193,/home/runner/work/_temp/manual03-durable/renders/en/page-015.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,16,612.0,792.0,2283,/home/runner/work/_temp/manual03-durable/renders/en/page-016.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,17,612.0,792.0,1933,/home/runner/work/_temp/manual03-durable/renders/en/page-017.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,18,612.0,792.0,1113,/home/runner/work/_temp/manual03-durable/renders/en/page-018.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,19,612.0,792.0,2466,/home/runner/work/_temp/manual03-durable/renders/en/page-019.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,20,612.0,792.0,1887,/home/runner/work/_temp/manual03-durable/renders/en/page-020.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,21,612.0,792.0,1800,/home/runner/work/_temp/manual03-durable/renders/en/page-021.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,22,612.0,792.0,2366,/home/runner/work/_temp/manual03-durable/renders/en/page-022.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,23,612.0,792.0,2424,/home/runner/work/_temp/manual03-durable/renders/en/page-023.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,24,612.0,792.0,1785,/home/runner/work/_temp/manual03-durable/renders/en/page-024.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,25,612.0,792.0,1017,/home/runner/work/_temp/manual03-durable/renders/en/page-025.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,26,612.0,792.0,2363,/home/runner/work/_temp/manual03-durable/renders/en/page-026.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,27,612.0,792.0,2029,/home/runner/work/_temp/manual03-durable/renders/en/page-027.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,28,612.0,792.0,1044,/home/runner/work/_temp/manual03-durable/renders/en/page-028.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,29,612.0,792.0,2311,/home/runner/work/_temp/manual03-durable/renders/en/page-029.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,30,612.0,792.0,2280,/home/runner/work/_temp/manual03-durable/renders/en/page-030.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,31,612.0,792.0,1609,/home/runner/work/_temp/manual03-durable/renders/en/page-031.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,32,612.0,792.0,943,/home/runner/work/_temp/manual03-durable/renders/en/page-032.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,33,612.0,792.0,2165,/home/runner/work/_temp/manual03-durable/renders/en/page-033.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,34,612.0,792.0,2213,/home/runner/work/_temp/manual03-durable/renders/en/page-034.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,35,612.0,792.0,2209,/home/runner/work/_temp/manual03-durable/renders/en/page-035.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,36,612.0,792.0,1693,/home/runner/work/_temp/manual03-durable/renders/en/page-036.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,37,612.0,792.0,1394,/home/runner/work/_temp/manual03-durable/renders/en/page-037.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,38,612.0,792.0,952,/home/runner/work/_temp/manual03-durable/renders/en/page-038.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,39,612.0,792.0,2621,/home/runner/work/_temp/manual03-durable/renders/en/page-039.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,40,612.0,792.0,2330,/home/runner/work/_temp/manual03-durable/renders/en/page-040.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,41,612.0,792.0,1142,/home/runner/work/_temp/manual03-durable/renders/en/page-041.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,42,612.0,792.0,2231,/home/runner/work/_temp/manual03-durable/renders/en/page-042.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,43,612.0,792.0,996,/home/runner/work/_temp/manual03-durable/renders/en/page-043.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,44,612.0,792.0,2261,/home/runner/work/_temp/manual03-durable/renders/en/page-044.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,45,612.0,792.0,2515,/home/runner/work/_temp/manual03-durable/renders/en/page-045.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,46,612.0,792.0,2158,/home/runner/work/_temp/manual03-durable/renders/en/page-046.png,PASS
Manual_03_NIST_AI_RMF_Implementation_EN.pdf,47,612.0,792.0,1616,/home/runner/work/_temp/manual03-durable/renders/en/page-047.png,PASS
Manual_03_NIST_AI_RMF_Implementation_ES-419.pdf,1,612.0,792.0,2015,/home/runner/work/_temp/manual03-durable/renders/es_419/page-001.png,PASS
Manual_03_NIST_AI_RMF_Implementation_ES-419.pdf,2,612.0,792.0,2107,/home/runner/work/_temp/manual03-durable/renders/es_419/page-002.png,PASS
Manual_03_NIST_AI_RMF_Implementation_ES-419.pdf,3,612.0,792.0,1971,/home/runner/work/_temp/manual03-durable/renders/es_419/page-003.png,PASS
Manual_03_NIST_AI_RMF_Implementation_ES-419.pdf,4,612.0,792.0,1432,/home/runner/work/_temp/manual03-durable/renders/es_419/page-004.png,PASS
