pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,1,612.0,792.0,2934,/home/runner/work/_temp/manual09-publication/renders/en/page-001.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,2,612.0,792.0,2182,/home/runner/work/_temp/manual09-publication/renders/en/page-002.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,3,612.0,792.0,395,/home/runner/work/_temp/manual09-publication/renders/en/page-003.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,4,612.0,792.0,443,/home/runner/work/_temp/manual09-publication/renders/en/page-004.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,5,612.0,792.0,651,/home/runner/work/_temp/manual09-publication/renders/en/page-005.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,6,612.0,792.0,1126,/home/runner/work/_temp/manual09-publication/renders/en/page-006.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,7,612.0,792.0,3159,/home/runner/work/_temp/manual09-publication/renders/en/page-007.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,8,612.0,792.0,3279,/home/runner/work/_temp/manual09-publication/renders/en/page-008.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,9,612.0,792.0,3225,/home/runner/work/_temp/manual09-publication/renders/en/page-009.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,10,612.0,792.0,3334,/home/runner/work/_temp/manual09-publication/renders/en/page-010.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_EN.pdf,11,612.0,792.0,1197,/home/runner/work/_temp/manual09-publication/renders/en/page-011.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,1,612.0,792.0,3226,/home/runner/work/_temp/manual09-publication/renders/es_419/page-001.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,2,612.0,792.0,2778,/home/runner/work/_temp/manual09-publication/renders/es_419/page-002.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,3,612.0,792.0,473,/home/runner/work/_temp/manual09-publication/renders/es_419/page-003.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,4,612.0,792.0,468,/home/runner/work/_temp/manual09-publication/renders/es_419/page-004.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,5,612.0,792.0,710,/home/runner/work/_temp/manual09-publication/renders/es_419/page-005.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,6,612.0,792.0,1349,/home/runner/work/_temp/manual09-publication/renders/es_419/page-006.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,7,612.0,792.0,3475,/home/runner/work/_temp/manual09-publication/renders/es_419/page-007.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,8,612.0,792.0,3565,/home/runner/work/_temp/manual09-publication/renders/es_419/page-008.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,9,612.0,792.0,3417,/home/runner/work/_temp/manual09-publication/renders/es_419/page-009.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,10,612.0,792.0,3314,/home/runner/work/_temp/manual09-publication/renders/es_419/page-010.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_ES-419.pdf,11,612.0,792.0,1387,/home/runner/work/_temp/manual09-publication/renders/es_419/page-011.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,1,612.0,792.0,3049,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-001.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,2,612.0,792.0,2810,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-002.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,3,612.0,792.0,454,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-003.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,4,612.0,792.0,433,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-004.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,5,612.0,792.0,688,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-005.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,6,612.0,792.0,1298,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-006.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,7,612.0,792.0,3318,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-007.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,8,612.0,792.0,3517,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-008.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,9,612.0,792.0,3367,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-009.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,10,612.0,792.0,3357,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-010.png,PASS
Manual_09_NIST_CSF_2_Controlled_Implementation_PT-BR.pdf,11,612.0,792.0,1389,/home/runner/work/_temp/manual09-publication/renders/pt_BR/page-011.png,PASS
