pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,1,612.0,792.0,2863,/home/runner/work/_temp/manual10-publication/renders/en/page-001.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,2,612.0,792.0,114,/home/runner/work/_temp/manual10-publication/renders/en/page-002.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,3,612.0,792.0,335,/home/runner/work/_temp/manual10-publication/renders/en/page-003.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,4,612.0,792.0,365,/home/runner/work/_temp/manual10-publication/renders/en/page-004.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,5,612.0,792.0,777,/home/runner/work/_temp/manual10-publication/renders/en/page-005.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,6,612.0,792.0,3269,/home/runner/work/_temp/manual10-publication/renders/en/page-006.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,7,612.0,792.0,3696,/home/runner/work/_temp/manual10-publication/renders/en/page-007.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,8,612.0,792.0,3502,/home/runner/work/_temp/manual10-publication/renders/en/page-008.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,9,612.0,792.0,3464,/home/runner/work/_temp/manual10-publication/renders/en/page-009.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_EN.pdf,10,612.0,792.0,1135,/home/runner/work/_temp/manual10-publication/renders/en/page-010.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,1,612.0,792.0,3197,/home/runner/work/_temp/manual10-publication/renders/es_419/page-001.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,2,612.0,792.0,422,/home/runner/work/_temp/manual10-publication/renders/es_419/page-002.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,3,612.0,792.0,408,/home/runner/work/_temp/manual10-publication/renders/es_419/page-003.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,4,612.0,792.0,417,/home/runner/work/_temp/manual10-publication/renders/es_419/page-004.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,5,612.0,792.0,900,/home/runner/work/_temp/manual10-publication/renders/es_419/page-005.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,6,612.0,792.0,3403,/home/runner/work/_temp/manual10-publication/renders/es_419/page-006.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,7,612.0,792.0,3615,/home/runner/work/_temp/manual10-publication/renders/es_419/page-007.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,8,612.0,792.0,3386,/home/runner/work/_temp/manual10-publication/renders/es_419/page-008.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,9,612.0,792.0,3609,/home/runner/work/_temp/manual10-publication/renders/es_419/page-009.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_ES-419.pdf,10,612.0,792.0,1417,/home/runner/work/_temp/manual10-publication/renders/es_419/page-010.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,1,612.0,792.0,3179,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-001.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,2,612.0,792.0,321,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-002.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,3,612.0,792.0,400,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-003.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,4,612.0,792.0,404,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-004.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,5,612.0,792.0,891,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-005.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,6,612.0,792.0,3297,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-006.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,7,612.0,792.0,3554,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-007.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,8,612.0,792.0,3560,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-008.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,9,612.0,792.0,3428,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-009.png,PASS
Manual_10_NIST_RMF_SP_800-53_Controlled_Implementation_PT-BR.pdf,10,612.0,792.0,1169,/home/runner/work/_temp/manual10-publication/renders/pt_BR/page-010.png,PASS
