pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_05_AI_Auditing_and_Assurance_EN.pdf,1,612.0,792.0,2491,/home/runner/work/_temp/manual05-corrected/renders/en/page-001.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,2,612.0,792.0,688,/home/runner/work/_temp/manual05-corrected/renders/en/page-002.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,3,612.0,792.0,2677,/home/runner/work/_temp/manual05-corrected/renders/en/page-003.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,4,612.0,792.0,623,/home/runner/work/_temp/manual05-corrected/renders/en/page-004.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,5,612.0,792.0,406,/home/runner/work/_temp/manual05-corrected/renders/en/page-005.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,6,612.0,792.0,2941,/home/runner/work/_temp/manual05-corrected/renders/en/page-006.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,7,612.0,792.0,509,/home/runner/work/_temp/manual05-corrected/renders/en/page-007.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,8,612.0,792.0,121,/home/runner/work/_temp/manual05-corrected/renders/en/page-008.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,9,612.0,792.0,978,/home/runner/work/_temp/manual05-corrected/renders/en/page-009.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,10,612.0,792.0,3666,/home/runner/work/_temp/manual05-corrected/renders/en/page-010.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,11,612.0,792.0,2911,/home/runner/work/_temp/manual05-corrected/renders/en/page-011.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,12,612.0,792.0,3358,/home/runner/work/_temp/manual05-corrected/renders/en/page-012.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,13,612.0,792.0,3083,/home/runner/work/_temp/manual05-corrected/renders/en/page-013.png,PASS
Manual_05_AI_Auditing_and_Assurance_EN.pdf,14,612.0,792.0,475,/home/runner/work/_temp/manual05-corrected/renders/en/page-014.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,1,612.0,792.0,2853,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-001.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,2,612.0,792.0,769,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-002.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,3,612.0,792.0,2864,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-003.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,4,612.0,792.0,685,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-004.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,5,612.0,792.0,106,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-005.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,6,612.0,792.0,3502,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-006.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,7,612.0,792.0,682,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-007.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,8,612.0,792.0,140,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-008.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,9,612.0,792.0,1115,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-009.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,10,612.0,792.0,3980,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-010.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,11,612.0,792.0,3486,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-011.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,12,612.0,792.0,3589,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-012.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,13,612.0,792.0,3398,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-013.png,PASS
Manual_05_AI_Auditing_and_Assurance_ES-419.pdf,14,612.0,792.0,1509,/home/runner/work/_temp/manual05-corrected/renders/es_419/page-014.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,1,612.0,792.0,2721,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-001.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,2,612.0,792.0,903,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-002.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,3,612.0,792.0,2789,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-003.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,4,612.0,792.0,676,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-004.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,5,612.0,792.0,104,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-005.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,6,612.0,792.0,3422,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-006.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,7,612.0,792.0,673,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-007.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,8,612.0,792.0,141,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-008.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,9,612.0,792.0,1106,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-009.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,10,612.0,792.0,3887,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-010.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,11,612.0,792.0,3392,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-011.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,12,612.0,792.0,3514,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-012.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,13,612.0,792.0,3294,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-013.png,PASS
Manual_05_AI_Auditing_and_Assurance_PT-BR.pdf,14,612.0,792.0,1461,/home/runner/work/_temp/manual05-corrected/renders/pt_BR/page-014.png,PASS
