pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,1,612.0,792.0,2532,/home/runner/work/_temp/manual12-publication/renders/en/page-001.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,2,612.0,792.0,1046,/home/runner/work/_temp/manual12-publication/renders/en/page-002.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,3,612.0,792.0,507,/home/runner/work/_temp/manual12-publication/renders/en/page-003.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,4,612.0,792.0,426,/home/runner/work/_temp/manual12-publication/renders/en/page-004.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,5,612.0,792.0,985,/home/runner/work/_temp/manual12-publication/renders/en/page-005.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,6,612.0,792.0,3523,/home/runner/work/_temp/manual12-publication/renders/en/page-006.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,7,612.0,792.0,3534,/home/runner/work/_temp/manual12-publication/renders/en/page-007.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,8,612.0,792.0,3586,/home/runner/work/_temp/manual12-publication/renders/en/page-008.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,9,612.0,792.0,3588,/home/runner/work/_temp/manual12-publication/renders/en/page-009.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_EN.pdf,10,612.0,792.0,1444,/home/runner/work/_temp/manual12-publication/renders/en/page-010.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,1,612.0,792.0,3109,/home/runner/work/_temp/manual12-publication/renders/es_419/page-001.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,2,612.0,792.0,1490,/home/runner/work/_temp/manual12-publication/renders/es_419/page-002.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,3,612.0,792.0,557,/home/runner/work/_temp/manual12-publication/renders/es_419/page-003.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,4,612.0,792.0,467,/home/runner/work/_temp/manual12-publication/renders/es_419/page-004.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,5,612.0,792.0,1388,/home/runner/work/_temp/manual12-publication/renders/es_419/page-005.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,6,612.0,792.0,3458,/home/runner/work/_temp/manual12-publication/renders/es_419/page-006.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,7,612.0,792.0,3736,/home/runner/work/_temp/manual12-publication/renders/es_419/page-007.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,8,612.0,792.0,4100,/home/runner/work/_temp/manual12-publication/renders/es_419/page-008.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,9,612.0,792.0,3704,/home/runner/work/_temp/manual12-publication/renders/es_419/page-009.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_ES-419.pdf,10,612.0,792.0,3412,/home/runner/work/_temp/manual12-publication/renders/es_419/page-010.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,1,612.0,792.0,2999,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-001.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,2,612.0,792.0,1536,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-002.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,3,612.0,792.0,544,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-003.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,4,612.0,792.0,461,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-004.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,5,612.0,792.0,1330,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-005.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,6,612.0,792.0,3369,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-006.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,7,612.0,792.0,3548,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-007.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,8,612.0,792.0,3973,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-008.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,9,612.0,792.0,3704,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-009.png,PASS
Manual_12_CCPA_CPRA_California_Privacy_Controlled_Implementation_PT-BR.pdf,10,612.0,792.0,3141,/home/runner/work/_temp/manual12-publication/renders/pt_BR/page-010.png,PASS
