pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,1,612.0,792.0,2430,/home/runner/work/_temp/manual11-publication/renders/en/page-001.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,2,612.0,792.0,1049,/home/runner/work/_temp/manual11-publication/renders/en/page-002.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,3,612.0,792.0,476,/home/runner/work/_temp/manual11-publication/renders/en/page-003.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,4,612.0,792.0,390,/home/runner/work/_temp/manual11-publication/renders/en/page-004.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,5,612.0,792.0,725,/home/runner/work/_temp/manual11-publication/renders/en/page-005.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,6,612.0,792.0,3284,/home/runner/work/_temp/manual11-publication/renders/en/page-006.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,7,612.0,792.0,3455,/home/runner/work/_temp/manual11-publication/renders/en/page-007.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,8,612.0,792.0,3589,/home/runner/work/_temp/manual11-publication/renders/en/page-008.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,9,612.0,792.0,3457,/home/runner/work/_temp/manual11-publication/renders/en/page-009.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_EN.pdf,10,612.0,792.0,1367,/home/runner/work/_temp/manual11-publication/renders/en/page-010.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,1,612.0,792.0,2913,/home/runner/work/_temp/manual11-publication/renders/es_419/page-001.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,2,612.0,792.0,1536,/home/runner/work/_temp/manual11-publication/renders/es_419/page-002.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,3,612.0,792.0,551,/home/runner/work/_temp/manual11-publication/renders/es_419/page-003.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,4,612.0,792.0,456,/home/runner/work/_temp/manual11-publication/renders/es_419/page-004.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,5,612.0,792.0,1046,/home/runner/work/_temp/manual11-publication/renders/es_419/page-005.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,6,612.0,792.0,3255,/home/runner/work/_temp/manual11-publication/renders/es_419/page-006.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,7,612.0,792.0,3690,/home/runner/work/_temp/manual11-publication/renders/es_419/page-007.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,8,612.0,792.0,3794,/home/runner/work/_temp/manual11-publication/renders/es_419/page-008.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,9,612.0,792.0,3708,/home/runner/work/_temp/manual11-publication/renders/es_419/page-009.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_ES-419.pdf,10,612.0,792.0,3551,/home/runner/work/_temp/manual11-publication/renders/es_419/page-010.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,1,612.0,792.0,2894,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-001.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,2,612.0,792.0,1536,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-002.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,3,612.0,792.0,566,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-003.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,4,612.0,792.0,441,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-004.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,5,612.0,792.0,1022,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-005.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,6,612.0,792.0,3578,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-006.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,7,612.0,792.0,3604,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-007.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,8,612.0,792.0,3614,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-008.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,9,612.0,792.0,3768,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-009.png,PASS
Manual_11_GDPR_Privacy_Data_Protection_Controlled_Implementation_PT-BR.pdf,10,612.0,792.0,2784,/home/runner/work/_temp/manual11-publication/renders/pt_BR/page-010.png,PASS
