pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,1,612.0,792.0,2317,/home/runner/work/_temp/manual06-publication/renders/en/page-001.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,2,612.0,792.0,375,/home/runner/work/_temp/manual06-publication/renders/en/page-002.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,3,612.0,792.0,298,/home/runner/work/_temp/manual06-publication/renders/en/page-003.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,4,612.0,792.0,427,/home/runner/work/_temp/manual06-publication/renders/en/page-004.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,5,612.0,792.0,1208,/home/runner/work/_temp/manual06-publication/renders/en/page-005.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,6,612.0,792.0,3838,/home/runner/work/_temp/manual06-publication/renders/en/page-006.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,7,612.0,792.0,3996,/home/runner/work/_temp/manual06-publication/renders/en/page-007.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,8,612.0,792.0,4001,/home/runner/work/_temp/manual06-publication/renders/en/page-008.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,9,612.0,792.0,3827,/home/runner/work/_temp/manual06-publication/renders/en/page-009.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_EN.pdf,10,612.0,792.0,2473,/home/runner/work/_temp/manual06-publication/renders/en/page-010.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,1,612.0,792.0,2605,/home/runner/work/_temp/manual06-publication/renders/es_419/page-001.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,2,612.0,792.0,532,/home/runner/work/_temp/manual06-publication/renders/es_419/page-002.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,3,612.0,792.0,332,/home/runner/work/_temp/manual06-publication/renders/es_419/page-003.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,4,612.0,792.0,446,/home/runner/work/_temp/manual06-publication/renders/es_419/page-004.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,5,612.0,792.0,1365,/home/runner/work/_temp/manual06-publication/renders/es_419/page-005.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,6,612.0,792.0,4212,/home/runner/work/_temp/manual06-publication/renders/es_419/page-006.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,7,612.0,792.0,4042,/home/runner/work/_temp/manual06-publication/renders/es_419/page-007.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,8,612.0,792.0,4235,/home/runner/work/_temp/manual06-publication/renders/es_419/page-008.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,9,612.0,792.0,4010,/home/runner/work/_temp/manual06-publication/renders/es_419/page-009.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,10,612.0,792.0,4041,/home/runner/work/_temp/manual06-publication/renders/es_419/page-010.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_ES-419.pdf,11,612.0,792.0,424,/home/runner/work/_temp/manual06-publication/renders/es_419/page-011.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,1,612.0,792.0,2673,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-001.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,2,612.0,792.0,420,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-002.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,3,612.0,792.0,320,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-003.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,4,612.0,792.0,356,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-004.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,5,612.0,792.0,1415,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-005.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,6,612.0,792.0,4090,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-006.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,7,612.0,792.0,3902,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-007.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,8,612.0,792.0,4122,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-008.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,9,612.0,792.0,3844,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-009.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,10,612.0,792.0,3866,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-010.png,PASS
Manual_06_HIPAA_Implementation_and_Audit_PT-BR.pdf,11,612.0,792.0,405,/home/runner/work/_temp/manual06-publication/renders/pt_BR/page-011.png,PASS
