pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,1,612.0,792.0,1270,/home/runner/work/_temp/manual13-publication/renders/en/page-001.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,2,612.0,792.0,631,/home/runner/work/_temp/manual13-publication/renders/en/page-002.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,3,612.0,792.0,730,/home/runner/work/_temp/manual13-publication/renders/en/page-003.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,4,612.0,792.0,756,/home/runner/work/_temp/manual13-publication/renders/en/page-004.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,5,612.0,792.0,3772,/home/runner/work/_temp/manual13-publication/renders/en/page-005.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,6,612.0,792.0,3607,/home/runner/work/_temp/manual13-publication/renders/en/page-006.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,7,612.0,792.0,4061,/home/runner/work/_temp/manual13-publication/renders/en/page-007.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,8,612.0,792.0,4071,/home/runner/work/_temp/manual13-publication/renders/en/page-008.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,9,612.0,792.0,4044,/home/runner/work/_temp/manual13-publication/renders/en/page-009.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,10,612.0,792.0,4324,/home/runner/work/_temp/manual13-publication/renders/en/page-010.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_EN.pdf,11,612.0,792.0,2886,/home/runner/work/_temp/manual13-publication/renders/en/page-011.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,1,612.0,792.0,1203,/home/runner/work/_temp/manual13-publication/renders/es_419/page-001.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,2,612.0,792.0,592,/home/runner/work/_temp/manual13-publication/renders/es_419/page-002.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,3,612.0,792.0,618,/home/runner/work/_temp/manual13-publication/renders/es_419/page-003.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,4,612.0,792.0,361,/home/runner/work/_temp/manual13-publication/renders/es_419/page-004.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,5,612.0,792.0,3238,/home/runner/work/_temp/manual13-publication/renders/es_419/page-005.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,6,612.0,792.0,3321,/home/runner/work/_temp/manual13-publication/renders/es_419/page-006.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,7,612.0,792.0,3077,/home/runner/work/_temp/manual13-publication/renders/es_419/page-007.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,8,612.0,792.0,3225,/home/runner/work/_temp/manual13-publication/renders/es_419/page-008.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_ES-419.pdf,9,612.0,792.0,3159,/home/runner/work/_temp/manual13-publication/renders/es_419/page-009.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,1,612.0,792.0,1175,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-001.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,2,612.0,792.0,581,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-002.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,3,612.0,792.0,608,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-003.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,4,612.0,792.0,345,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-004.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,5,612.0,792.0,3189,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-005.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,6,612.0,792.0,3039,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-006.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,7,612.0,792.0,3271,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-007.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,8,612.0,792.0,3212,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-008.png,PASS
Manual_13_SOX_ITGC_ICFR_Controlled_Implementation_PT-BR.pdf,9,612.0,792.0,3070,/home/runner/work/_temp/manual13-publication/renders/pt_BR/page-009.png,PASS
