pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,1,612.0,792.0,2241,/home/runner/work/_temp/manual07-publication/renders/en/page-001.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,2,612.0,792.0,116,/home/runner/work/_temp/manual07-publication/renders/en/page-002.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,3,612.0,792.0,590,/home/runner/work/_temp/manual07-publication/renders/en/page-003.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,4,612.0,792.0,396,/home/runner/work/_temp/manual07-publication/renders/en/page-004.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,5,612.0,792.0,1308,/home/runner/work/_temp/manual07-publication/renders/en/page-005.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,6,612.0,792.0,3615,/home/runner/work/_temp/manual07-publication/renders/en/page-006.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,7,612.0,792.0,3645,/home/runner/work/_temp/manual07-publication/renders/en/page-007.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,8,612.0,792.0,2875,/home/runner/work/_temp/manual07-publication/renders/en/page-008.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_EN.pdf,9,612.0,792.0,2426,/home/runner/work/_temp/manual07-publication/renders/en/page-009.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,1,612.0,792.0,2652,/home/runner/work/_temp/manual07-publication/renders/es_419/page-001.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,2,612.0,792.0,211,/home/runner/work/_temp/manual07-publication/renders/es_419/page-002.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,3,612.0,792.0,142,/home/runner/work/_temp/manual07-publication/renders/es_419/page-003.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,4,612.0,792.0,352,/home/runner/work/_temp/manual07-publication/renders/es_419/page-004.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,5,612.0,792.0,380,/home/runner/work/_temp/manual07-publication/renders/es_419/page-005.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,6,612.0,792.0,446,/home/runner/work/_temp/manual07-publication/renders/es_419/page-006.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,7,612.0,792.0,1511,/home/runner/work/_temp/manual07-publication/renders/es_419/page-007.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,8,612.0,792.0,3570,/home/runner/work/_temp/manual07-publication/renders/es_419/page-008.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,9,612.0,792.0,3734,/home/runner/work/_temp/manual07-publication/renders/es_419/page-009.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,10,612.0,792.0,3518,/home/runner/work/_temp/manual07-publication/renders/es_419/page-010.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,11,612.0,792.0,3464,/home/runner/work/_temp/manual07-publication/renders/es_419/page-011.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_ES-419.pdf,12,612.0,792.0,569,/home/runner/work/_temp/manual07-publication/renders/es_419/page-012.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,1,612.0,792.0,2613,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-001.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,2,612.0,792.0,197,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-002.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,3,612.0,792.0,139,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-003.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,4,612.0,792.0,665,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-004.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,5,612.0,792.0,427,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-005.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,6,612.0,792.0,1480,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-006.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,7,612.0,792.0,3515,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-007.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,8,612.0,792.0,3608,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-008.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,9,612.0,792.0,3450,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-009.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,10,612.0,792.0,3303,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-010.png,PASS
Manual_07_AI_Security_and_Lifecycle_Controls_PT-BR.pdf,11,612.0,792.0,526,/home/runner/work/_temp/manual07-publication/renders/pt_BR/page-011.png,PASS
