pdf,page,width_pt,height_pt,text_chars,render,automated_status
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,1,612.0,792.0,2270,/home/runner/work/_temp/manual08-publication/renders/en/page-001.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,2,612.0,792.0,105,/home/runner/work/_temp/manual08-publication/renders/en/page-002.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,3,612.0,792.0,107,/home/runner/work/_temp/manual08-publication/renders/en/page-003.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,4,612.0,792.0,648,/home/runner/work/_temp/manual08-publication/renders/en/page-004.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,5,612.0,792.0,882,/home/runner/work/_temp/manual08-publication/renders/en/page-005.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,6,612.0,792.0,858,/home/runner/work/_temp/manual08-publication/renders/en/page-006.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,7,612.0,792.0,3334,/home/runner/work/_temp/manual08-publication/renders/en/page-007.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,8,612.0,792.0,3242,/home/runner/work/_temp/manual08-publication/renders/en/page-008.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,9,612.0,792.0,3134,/home/runner/work/_temp/manual08-publication/renders/en/page-009.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_EN.pdf,10,612.0,792.0,1314,/home/runner/work/_temp/manual08-publication/renders/en/page-010.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,1,612.0,792.0,2687,/home/runner/work/_temp/manual08-publication/renders/es_419/page-001.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,2,612.0,792.0,166,/home/runner/work/_temp/manual08-publication/renders/es_419/page-002.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,3,612.0,792.0,129,/home/runner/work/_temp/manual08-publication/renders/es_419/page-003.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,4,612.0,792.0,723,/home/runner/work/_temp/manual08-publication/renders/es_419/page-004.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,5,612.0,792.0,967,/home/runner/work/_temp/manual08-publication/renders/es_419/page-005.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,6,612.0,792.0,1116,/home/runner/work/_temp/manual08-publication/renders/es_419/page-006.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,7,612.0,792.0,3461,/home/runner/work/_temp/manual08-publication/renders/es_419/page-007.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,8,612.0,792.0,3455,/home/runner/work/_temp/manual08-publication/renders/es_419/page-008.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,9,612.0,792.0,3360,/home/runner/work/_temp/manual08-publication/renders/es_419/page-009.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_ES-419.pdf,10,612.0,792.0,2466,/home/runner/work/_temp/manual08-publication/renders/es_419/page-010.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,1,612.0,792.0,2647,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-001.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,2,612.0,792.0,169,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-002.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,3,612.0,792.0,126,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-003.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,4,612.0,792.0,718,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-004.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,5,612.0,792.0,966,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-005.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,6,612.0,792.0,1080,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-006.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,7,612.0,792.0,3354,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-007.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,8,612.0,792.0,3348,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-008.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,9,612.0,792.0,3248,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-009.png,PASS
Manual_08_Vendor_and_Third_Party_Risk_Lifecycle_PT-BR.pdf,10,612.0,792.0,2375,/home/runner/work/_temp/manual08-publication/renders/pt_BR/page-010.png,PASS
