language,page,chapter,status,text_characters,images,vector_drawings,external_links,nonwhite_ratio,issues
en,1,Preliminaries,PASS,501,0,12,0,0.06822,
en,2,Preliminaries,PASS,2416,0,10,0,0.17562,
en,3,Preliminaries,PASS,341,0,0,0,0.02464,
en,4,Preliminaries,PASS,1871,0,140,0,0.18813,
en,5,Chapter 1,PASS,1608,0,29,0,0.12924,
en,6,Chapter 2,PASS,1526,2,28,0,0.17914,
en,7,Chapter 3,PASS,1272,2,28,0,0.18181,
en,8,Chapter 3,PASS,617,0,0,0,0.0421,
en,9,Chapter 4,PASS,2193,0,27,0,0.17246,
en,10,Chapter 5,PASS,1906,0,0,0,0.12855,
en,11,Chapter 6,PASS,1389,0,0,0,0.09513,
en,12,Chapter 7,PASS,1639,2,21,0,0.19455,
en,13,Chapter 7,PASS,285,0,10,0,0.04458,
en,14,Chapter 8,PASS,1854,0,43,0,0.16946,
en,15,Chapter 9,PASS,1497,2,0,0,0.16069,
en,16,Chapter 9,PASS,791,0,21,0,0.07314,
en,17,Chapter 10,PASS,1808,0,22,0,0.1399,
en,18,Chapter 11,PASS,1506,0,29,0,0.12094,
en,19,Chapter 12,PASS,1654,0,27,0,0.14457,
en,20,Chapter 13,PASS,1619,0,27,0,0.14372,
en,21,Chapter 14,PASS,1564,0,28,0,0.12749,
en,22,Chapter 15,PASS,1441,0,0,0,0.1007,
en,23,Chapter 16,PASS,1525,0,27,0,0.12943,
en,24,Chapter 17,PASS,1433,2,22,0,0.18624,
en,25,Chapter 17,PASS,263,0,14,0,0.04421,
en,26,Chapter 18,PASS,1522,0,10,0,0.11374,
en,27,Chapter 19,PASS,1593,0,21,0,0.13268,
en,28,Chapter 20,PASS,2085,0,56,0,0.15451,
en,29,Chapter 21,PASS,1397,0,21,0,0.12374,
en,30,Chapter 22,PASS,1513,0,10,0,0.11002,
en,31,Chapter 23,PASS,1493,0,22,0,0.12771,
en,32,Chapter 24,PASS,1636,0,0,0,0.11346,
en,33,Chapter 25,PASS,1773,2,28,0,0.19469,
en,34,Chapter 26,PASS,1632,2,16,0,0.19316,
en,35,Chapter 26,PASS,351,0,15,0,0.05022,
en,36,Chapter 27,PASS,1473,2,0,0,0.1576,
en,37,Chapter 27,PASS,437,0,0,0,0.02976,
en,38,Chapter 28,PASS,1293,2,0,0,0.14849,
en,39,Chapter 28,PASS,627,0,0,0,0.04273,
en,40,Chapter 29,PASS,2561,0,22,0,0.19647,
